Geneid,N1,N2,N3,R1,R2,R3,R4,R5
100287102,0,0,0,1,2,3,0,1
653635,40,48,59,116,106,277,80,135
102466751,0,0,1,1,0,0,0,0
100302278,0,0,0,0,0,0,0,0
645520,0,0,0,1,0,0,0,0
79501,0,0,0,0,0,0,0,0
729737,35,38,31,750,697,2202,1946,2016
102725121,0,0,0,4,0,5,2,9
102723897,43,49,69,217,210,347,359,279
102465909,0,2,4,2,1,0,0,0
729759,0,0,0,0,0,0,0,0
100132287,3,7,0,154,154,98,66,101
105378947,0,2,0,0,0,0,0,0
101928626,1,0,0,0,0,0,0,0
102465432,28,32,29,0,0,0,0,0
81399,0,0,0,0,0,6,0,0
100133331,10,9,12,1227,1257,627,651,633
100288069,11,6,7,19,6,16,17,8
400728,2,4,4,2,0,1,0,0
79854,0,7,11,34,32,15,23,22
643837,133,160,174,3,4,15,6,1
284593,0,0,0,0,0,0,0,0
100130417,14,9,8,0,0,0,0,0
148398,34,45,28,2,3,4,4,8
26155,388,423,368,484,524,857,775,810
339451,51,49,47,28,23,48,54,43
84069,46,10,10,94,78,112,141,133
84808,12,2,5,57,56,67,31,50
57801,5,6,6,79,67,49,81,58
9636,88,53,44,10,10,48,57,50
375790,663,297,267,2056,1940,3838,3470,3642
105369174,0,1,2,0,0,0,0,0
105378948,5,0,1,1,1,1,2,0
401934,1,0,1,8,4,6,6,4
54991,49,49,49,71,56,98,96,104
254099,0,0,0,0,0,2,1,0
406984,0,0,0,8,10,1,8,11
406983,1,0,0,7,6,9,19,9
554210,2,0,0,13,16,12,8,14
254173,1,1,0,18,10,19,10,14
8784,12,2,6,0,5,4,2,2
7293,14,10,12,0,4,10,0,0
51150,754,757,706,226,179,350,304,305
126792,117,94,78,0,0,4,4,2
388581,2,3,0,4,3,1,0,1
118424,177,166,152,154,134,190,188,171
6339,13,25,20,3,7,35,13,17
116983,180,308,353,156,196,214,190,215
102465434,0,0,0,0,0,0,0,0
126789,22,18,29,25,33,35,25,34
54973,440,483,440,293,234,356,339,377
102465435,0,0,0,1,0,1,0,0
80772,49,61,41,48,30,63,40,47
83756,25,13,28,12,17,7,11,8
1855,118,176,192,204,187,248,222,255
102466740,0,0,0,0,0,0,0,0
54587,426,739,807,53,86,159,108,129
54998,173,109,105,55,68,114,109,108
81669,1822,1575,1451,1990,2020,2277,2154,2218
148413,145,71,84,34,18,41,31,12
55052,242,217,244,193,192,199,191,230
441869,215,106,90,18,39,60,58,68
643965,0,0,0,0,0,0,0,0
102724312,3,3,4,0,0,2,0,0
64856,218,586,544,18,32,51,42,36
219293,28,12,18,11,17,17,17,18
83858,109,132,106,190,186,261,407,209
55210,58,91,72,189,215,214,182,261
339453,0,3,2,0,6,4,0,7
29101,546,430,441,152,162,387,305,352
643988,31,30,38,0,2,6,0,4
142678,103,164,133,62,46,111,120,89
8510,0,1,2,0,0,0,0,0
